iso_country,name,length_ft,width_ft
AE,Al Maktoum International Airport,14764.0,197.0
AF,Bagram Airfield,11820.0,151.0
AG,V.C. Bird International Airport,9003.0,148.0
AI,Clayton J Lloyd International Airport,5462.0,98.0
AL,Kuçovë Air Base,9318.0,220.0
AM,Zvartnots International Airport,12629.0,184.0
AO,Quatro de Fevereiro Airport,12190.0,148.0
AQ,South Pole Station Airport,12000.0,200.0
AR,Piloto Civil N. Fernández Airport,11644.0,148.0
AS,Pago Pago International Airport,10000.0,150.0
AT,Vienna International Airport,11811.0,148.0
AU,Sydney Kingsford Smith International Airport,12999.0,148.0
AW,Queen Beatrix International Airport,9000.0,148.0
AZ,Heydar Aliyev International Airport,13123.0,197.0
BA,Sarajevo International Airport,8666.0,150.0
BB,Grantley Adams International Airport,11000.0,150.0
BD,Hazrat Shahjalal International Airport,11500.0,150.0
BE,Liège Airport,12106.0,148.0
BF,Bobo Dioulasso Airport,10826.0,148.0
BG,Sofia Airport,11811.0,147.0
BH,Bahrain International Airport,12979.0,197.0
BI,Bujumbura Melchior Ndadaye International Airport,11811.0,148.0
BJ,Cadjehoun Airport,7874.0,148.0
BL,Gustaf III Airport / Saint Barthélemy Rémy de Haenen Airport,2133.0,49.0
BM,L.F. Wade International International Airport,9705.0,150.0
BN,Brunei International Airport,12000.0,150.0
BO,El Alto International Airport,13123.0,151.0
BQ,Flamingo International Airport,9449.0,148.0
BR,Rio Galeão – Tom Jobim International Airport,13123.0,148.0
BS,Lynden Pindling International Airport,11353.0,150.0
BT,Paro Airport,7431.0,98.0
BW,Sir Seretse Khama International Airport,13123.0,148.0
BY,Minsk National Airport,12139.0,197.0
BZ,Riversdale International Airport,9022.0,197.0
CA,Pontiac Airpark Water Aerodrome,120000.0,1000.0
CC,Cocos (Keeling) Islands Airport,7999.0,148.0
CD,Ndjili International Airport,15420.0,197.0
CF,Bangui M'Poko International Airport,8530.0,148.0
CG,Maya-Maya Airport,10827.0,148.0
CH,Geneva Cointrin International Airport,12795.0,164.0
CI,Bouaké Airport,10827.0,148.0
CK,Rarotonga International Airport,7638.0,150.0
CL,Comodoro Arturo Merino Benítez International Airport,12303.0,180.0
CM,Yaoundé Nsimalen International Airport,11155.0,148.0
CN,Qamdo Bangda Airport,18045.0,148.0
CO,El Dorado International Airport,12467.0,148.0
CR,Juan Santamaría International Airport,9882.0,151.0
CU,Antonio Maceo International Airport,13130.0,148.0
CV,Amílcar Cabral International Airport,10735.0,148.0
CW,Hato International Airport,11188.0,197.0
CX,Christmas Island Airport,6900.0,148.0
CY,Larnaca International Airport,9776.0,148.0
CZ,Václav Havel Airport Prague,12189.0,148.0
DE,Berlin Brandenburg Airport,13123.0,148.0
DJ,Djibouti-Ambouli Airport,10335.0,150.0
DK,Copenhagen Kastrup Airport,11811.0,148.0
DM,Douglas-Charles Airport,4777.0,148.0
DO,Las Américas International Airport,11000.0,200.0
DZ,Tinfouchy Airport,12737.0,246.0
EC,Mariscal Sucre International Airport,13445.0,148.0
EE,Lennart Meri Tallinn Airport,11417.0,148.0
EG,Cairo International Airport,13124.0,197.0
EH,Smara Airport,9850.0,100.0
ER,Assab International Airport,11531.0,148.0
ES,Adolfo Suárez Madrid–Barajas Airport,13711.0,197.0
ET,Addis Ababa Bole International Airport,12467.0,148.0
FI,Helsinki Vantaa Airport,11286.0,197.0
FJ,Nadi International Airport,10739.0,150.0
FK,Mount Pleasant Airport,8497.0,150.0
FM,Chuuk International Airport,6006.0,150.0
FO,Vágar Airport,5902.0,98.0
FR,Charles de Gaulle International Airport,13829.0,148.0
GA,M'Vengue El Hadj Omar Bongo Ondimba International Airport,10105.0,148.0
GB,London Heathrow Airport,12799.0,164.0
GD,Point Salines International Airport,9003.0,148.0
GE,Sukhumi Babushara /  Vladislav Ardzinba International Airport,12012.0,172.0
GF,Cayenne – Félix Eboué Airport,10486.0,148.0
GG,Guernsey Airport,5194.0,148.0
GH,Kotoka International Airport,11165.0,200.0
GI,Gibraltar Airport,6000.0,150.0
GL,Summit Ice Landingstrip,15000.0,200.0
GM,Banjul International Airport,11811.0,148.0
GN,Conakry International Airport,10826.0,148.0
GP,Pointe-à-Pitre Le Raizet,11499.0,148.0
GQ,Bata Airport,10860.0,200.0
GR,Eleftherios Venizelos International Airport,13123.0,148.0
GT,Mundo Maya International Airport,9842.0,148.0
GU,Antonio B. Won Pat International Airport,12015.0,150.0
GW,Osvaldo Vieira International Airport,10499.0,148.0
GY,Cheddi Jagan International Airport,7448.0,148.0
HK,Hong Kong International Airport,12467.0,197.0
HN,Goloson International Airport,9875.0,147.0
HR,Dubrovnik Airport,10827.0,148.0
HT,Toussaint Louverture International Airport,9974.0,141.0
HU,Budapest Liszt Ferenc International Airport,12162.0,149.0
ID,Hang Nadim International Airport,13270.0,148.0
IE,Shannon Airport,10495.0,148.0
IL,Ben Gurion International Airport,13327.0,148.0
IM,Isle of Man Airport,5751.0,151.0
IN,Indira Gandhi International Airport,14534.0,197.0
IO,Diego Garcia Naval Support Facility,12003.0,200.0
IQ,Erbil International Airport,15748.0,246.0
IR,Bushehr Airport,14664.0,148.0
IS,Keflavik International Airport,10056.0,197.0
IT,Malpensa International Airport,12861.0,197.0
JE,Jersey Airport,5597.0,148.0
JM,Norman Manley International Airport,8900.0,150.0
JO,Queen Alia International Airport,12008.0,200.0
JP,JASDF Chitose Air Base,13124.0,200.0
KE,Jomo Kenyatta International Airport,13507.0,148.0
KG,Manas International Airport,13780.0,180.0
KH,Phnom Penh International Airport,9843.0,144.0
KI,Cassidy International Airport,6900.0,98.0
KM,Prince Said Ibrahim International Airport,9514.0,148.0
KN,Robert L. Bradshaw International Airport,7602.0,148.0
KP,Pyongyang Sunan International Airport,12475.0,197.0
KR,Incheon International Airport,13000.0,197.0
KW,Kuwait International Airport,11483.0,148.0
KY,Owen Roberts International Airport,7021.0,148.0
KZ,Yubileyniy Airfield,14765.0,275.0
LA,Wattay International Airport,9843.0,148.0
LB,Beirut Rafic Hariri International Airport,12467.0,148.0
LC,Hewanorra International Airport,9003.0,148.0
LK,Mattala Rajapaksa International Airport,11483.0,197.0
LR,Roberts International Airport,11000.0,150.0
LS,Moshoeshoe I International Airport,10498.0,148.0
LT,Šiauliai International Airport,11483.0,148.0
LU,Luxembourg-Findel International Airport,13123.0,197.0
LV,Riga International Airport,10499.0,148.0
LY,Al Jufra Airport,13729.0,197.0
MA,Mohammed V International Airport,12205.0,148.0
MD,Chişinău International Airport,11779.0,145.0
ME,Tivat Airport,8208.0,148.0
MF,Grand Case-Espérance Airport,3937.0,98.0
MG,Ivato Airport,10171.0,148.0
MH,Marshall Islands International Airport,7897.0,150.0
MK,Skopje International Airport,9678.0,148.0
ML,Modibo Keita International Airport,10498.0,148.0
MM,Mandalay International Airport,14003.0,200.0
MN,Buyant-Ukhaa International Airport,10170.0,197.0
MO,Macau International Airport,10544.0,148.0
MP,Saipan International Airport,8700.0,200.0
MQ,Martinique Aimé Césaire International Airport,10826.0,147.0
MR,Nouakchott–Oumtounsy International Airport,11155.0,197.0
MS,John A. Osborne Airport,1968.0,
MT,Malta International Airport,11627.0,197.0
MU,Sir Seewoosagur Ramgoolam International Airport,11056.0,148.0
MV,Gan International Airport,12000.0,165.0
MW,Lilongwe International Airport,11614.0,148.0
MX,Licenciado Adolfo Lopez Mateos International Airport,13780.0,148.0
MY,Kuala Lumpur International Airport,13530.0,197.0
MZ,Maputo Airport,12008.0,148.0
NC,La Tontouta International Airport,10663.0,148.0
NE,Diori Hamani International Airport,9843.0,148.0
NF,Norfolk Island International Airport,6398.0,150.0
NG,Murtala Muhammed International Airport,12794.0,197.0
NI,Punta Huete (Panchito) Airport,9862.0,148.0
NL,Amsterdam Airport Schiphol,12467.0,198.0
NO,Oslo Gardermoen Airport,11811.0,148.0
NP,Tribhuvan International Airport,10007.0,148.0
NR,Nauru International Airport,7054.0,148.0
NU,Niue International Airport,7660.0,148.0
NZ,Auckland International Airport,11926.0,148.0
OM,Duqm International Airport,13123.0,194.0
PA,Tocumen International Airport,10006.0,148.0
PE,Inca Manco Capac International Airport,13779.0,150.0
PF,Faa'a International Airport,11360.0,148.0
PG,Port Moresby Jacksons International Airport,9022.0,148.0
PH,Ninoy Aquino International Airport,12261.0,197.0
PK,Islamabad International Airport,12001.0,147.0
PL,Warsaw Chopin Airport,12106.0,196.0
PM,St Pierre Airport,5900.0,150.0
PR,Rafael Hernandez Airport,11702.0,200.0
PS,Jerusalem International Airport,6447.0,148.0
PT,Humberto Delgado Airport (Lisbon Portela Airport),12484.0,148.0
PW,Babelthuap Airport,7200.0,150.0
PY,Dr. Luis Maria Argaña International Airport,11483.0,131.0
QA,Hamad International Airport,15912.0,197.0
RE,Roland Garros Airport,10499.0,148.0
RO,Henri Coandă International Airport,11484.0,148.0
RS,Belgrade Nikola Tesla Airport,11155.0,148.0
RU,Ulyanovsk East Airport,16404.0,323.0
RW,Kigali International Airport,11483.0,148.0
SA,King Khaled International Airport,13796.0,197.0
SB,Honiara International Airport,7218.0,148.0
SC,Seychelles International Airport,9800.0,151.0
SD,Merowe New Airport,13186.0,197.0
SE,Luleå Airport,10990.0,148.0
SG,Singapore Changi Airport /  Changi Air Base (West),13123.0,197.0
SH,RAF Ascension Island,10019.0,150.0
SI,Ljubljana Jože Pučnik Airport,10827.0,148.0
SK,M. R. Štefánik Airport,10466.0,148.0
SL,Lungi International Airport,10498.0,150.0
SM,Aviosuperficie Torraccia,2133.0,98.0
SN,Blaise Diagne International Airport,11483.0,197.0
SO,Berbera Airport,13582.0,164.0
SR,Johan Adolf Pengel International Airport,11417.0,148.0
SS,Juba International Airport,10171.0,148.0
ST,São Tomé International Airport,7283.0,148.0
SV,Monseñor Óscar Arnulfo Romero International Airport,10500.0,148.0
SX,Princess Juliana International Airport,7708.0,148.0
SY,Qamishli Airport,11860.0,150.0
SZ,King Mswati III International Airport,11811.0,197.0
TC,Providenciales Airport,7598.0,148.0
TD,Abeche Airport,9186.0,98.0
TF,Europa Island Airstrip,4921.0,
TG,Lomé–Tokoin International Airport,9847.0,148.0
TH,Suvarnabhumi Airport,13123.0,197.0
TJ,Khudzhand Airport,10450.0,164.0
TL,Cakung Airport,8233.0,182.0
TM,Ashgabat International Airport,12467.0,151.0
TN,Enfidha - Hammamet International Airport,10826.0,196.0
TO,Fua'amotu International Airport,8795.0,147.0
TR,İstanbul Airport,13451.0,196.0
TT,Piarco International Airport,10500.0,150.0
TV,Funafuti International Airport,5040.0,
TW,Taiwan Taoyuan International Airport,12008.0,197.0
TZ,Kilimanjaro International Airport,11834.0,148.0
UA,Boryspil International Airport,13123.0,197.0
UG,Entebbe International Airport,12000.0,150.0
UM,Wake Island Airfield,9843.0,150.0
US,Gunflint Seaplane Base,30000.0,5000.0
UY,Carrasco International /General C L Berisso Airport,10499.0,148.0
UZ,Tashkent International Airport,13123.0,197.0
VC,Argyle International Airport,9000.0,148.0
VE,Simón Bolívar International Airport,11483.0,148.0
VG,Terrance B. Lettsome International Airport,4642.0,89.0
VI,Henry E Rohlsen Airport,10004.0,150.0
VN,Tan Son Nhat International Airport,12468.0,148.0
VU,Bauerfield International Airport,8530.0,148.0
WF,Hihifo Airport,6890.0,148.0
WS,Faleolo International Airport,9843.0,148.0
XK,Priština Adem Jashari International Airport,8165.0,148.0
YE,Sadah Airport,11483.0,
YT,Dzaoudzi Pamandzi International Airport,6330.0,92.0
ZA,Pierre Van Ryneveld Airport,16076.0,197.0
ZM,Kenneth Kaunda International Airport,12998.0,150.0
ZW,Robert Gabriel Mugabe International Airport,15502.0,151.0
